ID;Tecnología de Segurida;Año de Tendenci;Popularidad (%)
1;Autenticación Multifacto;2023;90
2;Zero Trust;2023;89
3;Cifrado Homomórfic;2022;83
4;Seguridad en la Nube;2023;91
5;Identidad Digital;2023;87
6;Seguridad en IoT;2023;84
7;Detección y Respuesta Extendida (XDR;2022;85
8;Inteligencia Artificial en Seguridad;2023;88
9;Blockchain para Seguridad;2022;80
10;Análisis de Seguridad Predictiv;2023;86
11;Seguridad en DevOps (DevSecOps);2023;87
12;Automatización de Segurida;2023;84
13;Seguridad en Contenedores;2023;83
14;Seguridad en Vehículos Autónom;2023;81
15;Cumplimiento de Normativas (GDPR, CCPA);2021;82
16;Seguridad en Blockchain;2022;78
17;Análisis Forense de Dato;2023;80
18;Gestión de Riesgos de Tercero;2022;76
19;Modelos Zero-Knowledge;2023;79
20;Privacidad Computacional;2023;83
