ID;Plataforma o Tendencia;Año de Tendenci;Popularidad (%)
1;Desarrollo Nativo;2023;90
2;Desarrollo Híbrid;2022;85
3;Flutter;2023;92
4;React Native;2023;88
5;Kotlin Multiplatform;2023;86
6;Swift para iOS;2022;90
7;Desarrollo para Android;2021;93
8;Aplicaciones Progresivas (PWA);2022;83
9;Desarrollo en Unity para Móvile;2021;82
10;Juegos Móvile;2023;95
11;Aplicaciones con IA;2023;87
12;UX y UI en Móvile;2023;89
13;Seguridad en Aplicaciones;2022;91
14;5G en Desarrollo Móvi;2023;88
15;Aplicaciones Basadas en Localizació;2022;84
16;Aplicaciones de Realidad Aumentada;2023;85
17;Desarrollo de Apps con Blockchain;2023;82
18;Wearables (Desarrollo para Smartwatches);2021;78
19;Aplicaciones Fintech;2023;87
20;Desarrollo con Capacitor;2022;80
