ID;Tecnología I;Año de Tendenci;Popularidad (%)
1;Procesamiento de Lenguaje Natural (NLP);2023;92
2;Aprendizaje Profundo (Deep Learning);2023;95
3;Redes Neuronales Generativas (GANs);2022;88
4;IA Conversacional (Chatbots);2023;89
5;Machine Learning Tradicional;2021;85
6;Visión Artificial (Computer Vision;2023;93
7;Modelos de IA Explicables;2022;84
8;IA en Seguridad Cibernétic;2023;91
9;Detección de Fraudes con I;2023;87
10;Vehículos Autónom;2022;90
11;Sistemas Recomendadores;2023;92
12;IA en Salud (Diagnósticos;2023;89
13;Asistentes Virtuales;2021;83
14;Modelos de Lenguaje (GPT, BERT);2023;96
15;Robótica Autóno;2022;88
16;Análisis Predictiv;2021;82
17;IA en Agricultura (Drones, Sensores);2023;80
18;IA en Finanzas;2022;85
19;IA en Automatización de Proceso;2023;87
20;Sistemas de IA Personalizados;2023;84
